time,gt_x,gt_y,gt_vx,gt_vy,fused_x,fused_y,fused_vx,fused_vy,lidar_x,lidar_y,radar_x,radar_y
0.380000,49.855669,3.796343,-0.759269,9.971134,49.804024,3.820880,-0.756930,9.880248,49.915059,3.000002,49.790744,4.671304
0.390000,49.847977,3.896047,-0.779209,9.969595,49.804024,3.820880,-0.756930,9.880248,49.915059,3.000002,49.790744,4.671304
0.400000,49.840085,3.995735,-0.799147,9.968017,49.780300,3.967090,-0.756580,9.660214,49.791809,3.950742,49.790744,4.671304
0.410000,49.831994,4.095407,-0.819081,9.966399,49.780300,3.967090,-0.756580,9.660214,49.791809,3.950742,49.790744,4.671304
0.420000,49.823704,4.195063,-0.839013,9.964741,49.780300,3.967090,-0.756580,9.660214,49.791809,3.950742,49.790744,4.671304
0.430000,49.815214,4.294701,-0.858940,9.963043,49.757011,4.273736,-0.796655,9.725247,49.791809,3.950742,49.724100,5.468014
0.440000,49.806525,4.394323,-0.878865,9.961305,49.757011,4.273736,-0.796655,9.725247,49.791809,3.950742,49.724100,5.468014
0.450000,49.797637,4.493927,-0.898785,9.959527,49.757011,4.273736,-0.796655,9.725247,49.791809,3.950742,49.724100,5.468014
0.460000,49.788549,4.593514,-0.918703,9.957710,49.757011,4.273736,-0.796655,9.725247,49.791809,3.950742,49.724100,5.468014
0.470000,49.779263,4.693082,-0.938616,9.955853,49.757011,4.273736,-0.796655,9.725247,49.791809,3.950742,49.724100,5.468014
0.480000,49.769777,4.792631,-0.958526,9.953955,49.716017,4.755636,-0.770998,9.712643,49.791809,3.950742,49.667185,5.576888
0.490000,49.760092,4.892160,-0.978432,9.952018,49.716017,4.755636,-0.770998,9.712643,49.791809,3.950742,49.667185,5.576888
0.500000,49.750208,4.991671,-0.998334,9.950042,49.724836,4.849011,-0.739691,9.357440,49.800784,4.833967,49.667185,5.576888
0.510000,49.740125,5.091161,-1.018232,9.948025,49.724836,4.849011,-0.739691,9.357440,49.800784,4.833967,49.667185,5.576888
0.520000,49.729844,5.190631,-1.038126,9.945969,49.724836,4.849011,-0.739691,9.357440,49.800784,4.833967,49.667185,5.576888
0.530000,49.719363,5.290080,-1.058016,9.943873,49.723349,5.164662,-0.645807,9.473700,49.800784,4.833967,49.605576,7.058103
0.540000,49.708683,5.389509,-1.077902,9.941737,49.723349,5.164662,-0.645807,9.473700,49.800784,4.833967,49.605576,7.058103
0.550000,49.697805,5.488915,-1.097783,9.939561,49.723349,5.164662,-0.645807,9.473700,49.800784,4.833967,49.605576,7.058103
0.560000,49.686728,5.588300,-1.117660,9.937346,49.723349,5.164662,-0.645807,9.473700,49.800784,4.833967,49.605576,7.058103
0.570000,49.675452,5.687662,-1.137532,9.935090,49.723349,5.164662,-0.645807,9.473700,49.800784,4.833967,49.605576,7.058103
0.580000,49.663977,5.787001,-1.157400,9.932795,49.668510,5.646057,-0.782756,9.491549,49.800784,4.833967,49.508088,7.330012
0.590000,49.652304,5.886318,-1.177264,9.930461,49.668510,5.646057,-0.782756,9.491549,49.800784,4.833967,49.508088,7.330012
0.600000,49.640432,5.985610,-1.197122,9.928086,49.647406,5.971332,-0.801298,9.889198,49.707892,5.947079,49.508088,7.330012
0.610000,49.628361,6.084879,-1.216976,9.925672,49.647406,5.971332,-0.801298,9.889198,49.707892,5.947079,49.508088,7.330012
0.620000,49.616092,6.184124,-1.236825,9.923218,49.647406,5.971332,-0.801298,9.889198,49.707892,5.947079,49.508088,7.330012
0.630000,49.603625,6.283343,-1.256669,9.920725,49.596835,6.262078,-1.028532,9.854700,49.707892,5.947079,49.429582,7.418370
0.640000,49.590959,6.382538,-1.276508,9.918192,49.596835,6.262078,-1.028532,9.854700,49.707892,5.947079,49.429582,7.418370
0.650000,49.578095,6.481707,-1.296341,9.915619,49.596835,6.262078,-1.028532,9.854700,49.707892,5.947079,49.429582,7.418370
0.660000,49.565032,6.580850,-1.316170,9.913006,49.596835,6.262078,-1.028532,9.854700,49.707892,5.947079,49.429582,7.418370
0.670000,49.551771,6.679967,-1.335993,9.910354,49.596835,6.262078,-1.028532,9.854700,49.707892,5.947079,49.429582,7.418370
0.680000,49.538312,6.779057,-1.355811,9.907662,49.511202,6.748418,-1.319608,9.813427,49.707892,5.947079,49.331052,7.643839
0.690000,49.524655,6.878120,-1.375624,9.904931,49.511202,6.748418,-1.319608,9.813427,49.707892,5.947079,49.331052,7.643839
0.700000,49.510800,6.977156,-1.395431,9.902160,49.501680,6.850453,-1.291700,9.559514,49.619255,6.842671,49.331052,7.643839
0.710000,49.496746,7.076163,-1.415233,9.899349,49.501680,6.850453,-1.291700,9.559514,49.619255,6.842671,49.331052,7.643839
0.720000,49.482495,7.175143,-1.435029,9.896499,49.501680,6.850453,-1.291700,9.559514,49.619255,6.842671,49.331052,7.643839
0.730000,49.468046,7.274093,-1.454819,9.893609,49.469373,7.142129,-1.289862,9.568966,49.619255,6.842671,49.269411,8.157559
0.740000,49.453399,7.373015,-1.474603,9.890680,49.469373,7.142129,-1.289862,9.568966,49.619255,6.842671,49.269411,8.157559
0.750000,49.438554,7.471907,-1.494381,9.887711,49.469373,7.142129,-1.289862,9.568966,49.619255,6.842671,49.269411,8.157559
0.760000,49.423511,7.570769,-1.514154,9.884702,49.469373,7.142129,-1.289862,9.568966,49.619255,6.842671,49.269411,8.157559
0.770000,49.408271,7.669601,-1.533920,9.881654,49.469373,7.142129,-1.289862,9.568966,49.619255,6.842671,49.269411,8.157559
0.780000,49.392833,7.768402,-1.553680,9.878567,49.413831,7.633613,-1.277137,9.598718,49.619255,6.842671,49.198803,8.827252
0.790000,49.377197,7.867172,-1.573434,9.875439,49.413831,7.633613,-1.277137,9.598718,49.619255,6.842671,49.198803,8.827252
0.800000,49.361364,7.965910,-1.593182,9.872273,49.405940,7.832707,-1.256205,9.609206,49.547811,7.826867,49.198803,8.827252
0.810000,49.345334,8.064617,-1.612923,9.869067,49.405940,7.832707,-1.256205,9.609206,49.547811,7.826867,49.198803,8.827252
0.820000,49.329106,8.163292,-1.632658,9.865821,49.405940,7.832707,-1.256205,9.609206,49.547811,7.826867,49.198803,8.827252
0.830000,49.312680,8.261933,-1.652387,9.862536,49.377618,8.130707,-1.246798,9.629113,49.547811,7.826867,49.130516,9.481129
0.840000,49.296058,8.360542,-1.672108,9.859212,49.377618,8.130707,-1.246798,9.629113,49.547811,7.826867,49.130516,9.481129
0.850000,49.279238,8.459117,-1.691823,9.855848,49.377618,8.130707,-1.246798,9.629113,49.547811,7.826867,49.130516,9.481129
0.860000,49.262222,8.557659,-1.711532,9.852444,49.377618,8.130707,-1.246798,9.629113,49.547811,7.826867,49.130516,9.481129
0.870000,49.245008,8.656166,-1.731233,9.849002,49.377618,8.130707,-1.246798,9.629113,49.547811,7.826867,49.130516,9.481129
0.880000,49.227597,8.754639,-1.750928,9.845519,49.291183,8.599024,-1.609170,9.544268,49.547811,7.826867,49.074386,9.607195
0.890000,49.209989,8.853076,-1.770615,9.841998,49.291183,8.599024,-1.609170,9.544268,49.547811,7.826867,49.074386,9.607195
0.900000,49.192185,8.951479,-1.790296,9.838437,49.244370,8.844199,-1.634129,9.681005,49.333538,8.852067,49.074386,9.607195
0.910000,49.174183,9.049845,-1.809969,9.834837,49.244370,8.844199,-1.634129,9.681005,49.333538,8.852067,49.074386,9.607195
0.920000,49.155985,9.148175,-1.829635,9.831197,49.244370,8.844199,-1.634129,9.681005,49.333538,8.852067,49.074386,9.607195
0.930000,49.137591,9.246469,-1.849294,9.827518,49.192680,9.139180,-1.707790,9.678772,49.333538,8.852067,48.981361,10.140726
0.940000,49.118999,9.344726,-1.868945,9.823800,49.192680,9.139180,-1.707790,9.678772,49.333538,8.852067,48.981361,10.140726
0.950000,49.100212,9.442945,-1.888589,9.820042,49.192680,9.139180,-1.707790,9.678772,49.333538,8.852067,48.981361,10.140726
