time,gt_x,gt_y,gt_vx,gt_vy,fused_x,fused_y,fused_vx,fused_vy,lidar_x,lidar_y,radar_x,radar_y
14.979999,-49.471005,7.253942,-1.450788,-9.894201,-49.526107,7.337949,-1.926931,-9.671082,-49.336020,8.019495,-49.583393,7.336326
14.989999,-49.485414,7.154985,-1.430997,-9.897083,-49.526107,7.337949,-1.926931,-9.671082,-49.336020,8.019495,-49.583393,7.336326
14.999999,-49.499625,7.056000,-1.411200,-9.899925,-49.526107,7.337949,-1.926931,-9.671082,-49.336020,8.019495,-49.583393,7.336326
15.009999,-49.513638,6.956987,-1.391397,-9.902728,-49.590121,7.010178,-1.944593,-9.764707,-49.550165,7.007891,-49.583393,7.336326
15.019999,-49.527453,6.857946,-1.371589,-9.905491,-49.590121,7.010178,-1.944593,-9.764707,-49.550165,7.007891,-49.583393,7.336326
15.029999,-49.541070,6.758877,-1.351775,-9.908214,-49.612082,6.805324,-1.700414,-9.814390,-49.550165,7.007891,-49.706670,6.711727
15.039999,-49.554488,6.659782,-1.331956,-9.910898,-49.612082,6.805324,-1.700414,-9.814390,-49.550165,7.007891,-49.706670,6.711727
15.049999,-49.567709,6.560660,-1.312132,-9.913542,-49.612082,6.805324,-1.700414,-9.814390,-49.550165,7.007891,-49.706670,6.711727
15.059999,-49.580731,6.461511,-1.292302,-9.916146,-49.612082,6.805324,-1.700414,-9.814390,-49.550165,7.007891,-49.706670,6.711727
15.069999,-49.593555,6.362337,-1.272467,-9.918711,-49.612082,6.805324,-1.700414,-9.814390,-49.550165,7.007891,-49.706670,6.711727
15.079999,-49.606180,6.263137,-1.252627,-9.921236,-49.688657,6.317925,-1.636324,-9.812494,-49.550165,7.007891,-49.751643,6.308023
15.089999,-49.618607,6.163912,-1.232782,-9.923721,-49.688657,6.317925,-1.636324,-9.812494,-49.550165,7.007891,-49.751643,6.308023
15.099999,-49.630836,6.064663,-1.212933,-9.926167,-49.688657,6.317925,-1.636324,-9.812494,-49.550165,7.007891,-49.751643,6.308023
15.109999,-49.642866,5.965389,-1.193078,-9.928573,-49.722185,6.026789,-1.612481,-9.807673,-49.678363,6.023572,-49.751643,6.308023
15.119999,-49.654697,5.866091,-1.173218,-9.930939,-49.722185,6.026789,-1.612481,-9.807673,-49.678363,6.023572,-49.751643,6.308023
15.129999,-49.666330,5.766770,-1.153354,-9.933266,-49.737440,5.820951,-1.469224,-9.845582,-49.678363,6.023572,-49.825117,5.729536
15.139999,-49.677764,5.667426,-1.133485,-9.935553,-49.737440,5.820951,-1.469224,-9.845582,-49.678363,6.023572,-49.825117,5.729536
15.149999,-49.689000,5.568059,-1.113612,-9.937800,-49.737440,5.820951,-1.469224,-9.845582,-49.678363,6.023572,-49.825117,5.729536
15.159999,-49.700037,5.468670,-1.093734,-9.940007,-49.737440,5.820951,-1.469224,-9.845582,-49.678363,6.023572,-49.825117,5.729536
15.169999,-49.710875,5.369259,-1.073852,-9.942175,-49.737440,5.820951,-1.469224,-9.845582,-49.678363,6.023572,-49.825117,5.729536
15.179999,-49.721514,5.269827,-1.053965,-9.944303,-49.775847,5.329687,-1.197101,-9.867445,-49.678363,6.023572,-49.813865,5.364766
15.189999,-49.731954,5.170373,-1.034075,-9.946391,-49.775847,5.329687,-1.197101,-9.867445,-49.678363,6.023572,-49.813865,5.364766
15.199999,-49.742195,5.070899,-1.014180,-9.948439,-49.775847,5.329687,-1.197101,-9.867445,-49.678363,6.023572,-49.813865,5.364766
15.209999,-49.752237,4.971405,-0.994281,-9.950447,-49.791727,5.081822,-1.158452,-9.750840,-49.775882,5.092364,-49.813865,5.364766
15.219999,-49.762081,4.871890,-0.974378,-9.952416,-49.791727,5.081822,-1.158452,-9.750840,-49.775882,5.092364,-49.813865,5.364766
15.229999,-49.771725,4.772357,-0.954471,-9.954345,-49.801767,4.885536,-1.117516,-9.758495,-49.775882,5.092364,-49.826462,4.933800
15.239999,-49.781170,4.672804,-0.934561,-9.956234,-49.801767,4.885536,-1.117516,-9.758495,-49.775882,5.092364,-49.826462,4.933800
15.249999,-49.790416,4.573232,-0.914646,-9.958083,-49.801767,4.885536,-1.117516,-9.758495,-49.775882,5.092364,-49.826462,4.933800
15.259999,-49.799463,4.473642,-0.894728,-9.959893,-49.801767,4.885536,-1.117516,-9.758495,-49.775882,5.092364,-49.826462,4.933800
15.269999,-49.808311,4.374034,-0.874807,-9.961662,-49.801767,4.885536,-1.117516,-9.758495,-49.775882,5.092364,-49.826462,4.933800
15.279999,-49.816959,4.274409,-0.854882,-9.963392,-49.827052,4.392731,-0.843065,-9.791535,-49.775882,5.092364,-49.842308,4.441932
15.289999,-49.825408,4.174767,-0.834953,-9.965082,-49.827052,4.392731,-0.843065,-9.791535,-49.775882,5.092364,-49.842308,4.441932
15.299999,-49.833658,4.075108,-0.815022,-9.966732,-49.827052,4.392731,-0.843065,-9.791535,-49.775882,5.092364,-49.842308,4.441932
15.309999,-49.841709,3.975432,-0.795086,-9.968342,-49.807861,4.102532,-0.776113,-9.793876,-49.707623,4.097892,-49.842308,4.441932
15.319999,-49.849560,3.875741,-0.775148,-9.969912,-49.807861,4.102532,-0.776113,-9.793876,-49.707623,4.097892,-49.842308,4.441932
15.329999,-49.857212,3.776034,-0.755207,-9.971442,-49.823743,3.902476,-0.833292,-9.802021,-49.707623,4.097892,-49.876198,3.914631
15.339999,-49.864664,3.676312,-0.735262,-9.972933,-49.823743,3.902476,-0.833292,-9.802021,-49.707623,4.097892,-49.876198,3.914631
15.349999,-49.871917,3.576576,-0.715315,-9.974383,-49.823743,3.902476,-0.833292,-9.802021,-49.707623,4.097892,-49.876198,3.914631
15.359999,-49.878970,3.476825,-0.695365,-9.975794,-49.823743,3.902476,-0.833292,-9.802021,-49.707623,4.097892,-49.876198,3.914631
15.369999,-49.885824,3.377060,-0.675412,-9.977165,-49.823743,3.902476,-0.833292,-9.802021,-49.707623,4.097892,-49.876198,3.914631
15.379999,-49.892479,3.277281,-0.655456,-9.978496,-49.876489,3.406034,-0.852259,-9.815168,-49.707623,4.097892,-49.962477,3.290931
15.389999,-49.898933,3.177490,-0.635498,-9.979787,-49.876489,3.406034,-0.852259,-9.815168,-49.707623,4.097892,-49.962477,3.290931
15.399999,-49.905189,3.077686,-0.615537,-9.981038,-49.876489,3.406034,-0.852259,-9.815168,-49.707623,4.097892,-49.962477,3.290931
15.409999,-49.911244,2.977869,-0.595574,-9.982249,-49.931409,3.020296,-0.909147,-10.036738,-49.925099,3.015094,-49.962477,3.290931
15.419999,-49.917100,2.878041,-0.575608,-9.983420,-49.931409,3.020296,-0.909147,-10.036738,-49.925099,3.015094,-49.962477,3.290931
15.429999,-49.922756,2.778201,-0.555640,-9.984551,-49.939362,2.814658,-0.736625,-10.054927,-49.925099,3.015094,-50.020171,2.698686
15.439999,-49.928213,2.678350,-0.535670,-9.985643,-49.939362,2.814658,-0.736625,-10.054927,-49.925099,3.015094,-50.020171,2.698686
15.449999,-49.933470,2.578488,-0.515698,-9.986694,-49.939362,2.814658,-0.736625,-10.054927,-49.925099,3.015094,-50.020171,2.698686
15.459999,-49.938527,2.478616,-0.495723,-9.987705,-49.939362,2.814658,-0.736625,-10.054927,-49.925099,3.015094,-50.020171,2.698686
15.469999,-49.943384,2.378734,-0.475747,-9.988677,-49.939362,2.814658,-0.736625,-10.054927,-49.925099,3.015094,-50.020171,2.698686
15.479999,-49.948042,2.278843,-0.455769,-9.989608,-49.953248,2.320383,-0.517129,-10.042633,-49.925099,3.015094,-49.997280,2.356674
15.489999,-49.952500,2.178942,-0.435788,-9.990500,-49.953248,2.320383,-0.517129,-10.042633,-49.925099,3.015094,-49.997280,2.356674
